id,classification,positive,negative,lyrics
966nol0XzgR4cjyr,neg,0.3966376089663761,0.6033623910336238,sooner or later
X3a2xKBrlhpE5ihe,pos,0.8455731908293159,0.15442680917068166,we got a fucked up reason to live who really gives a fuck were gonna wake up hate were gonna fuck you up i wanna break everything i wanna make it sting were gonna wake up hate were gonna wake it up you gotta get it straight were gonna give it up were gonna wake up hate were gonna fuck you up i wanna break everything i wanna make it sting were gonna wake up hate were gonna wake it up  i am the burden of my everything
00CH4HJdxQQQbJfu,neg,0.32243358631950664,0.6775664136804929,this criminal walked into my room he asked me why do you live this way think of all you could have
f6RWdB8GDuhrUamO,pos,0.5269510055720521,0.473048994427948,no matter what we say
ofu0wA4MabJYwmFL,neg,0.3994565217391304,0.6005434782608695,apparently
WzhvnCuDMscDDfQa,pos,0.5397779833487512,0.46022201665124884,well
LNrWCOflAy9hkcgS,neg,0.4500029703636803,0.54999702963632,stay out of trouble if you can
6jzBMaEOvntdvZ17,neg,0.1604797790001711,0.8395202209998462,last week i had the strangest dream where everything was exactly how it seemed where there was never any mystery of who shot john f kennedy it was just a man with something to prove slightly bored and severly confused he steadied his rifle with his target in the center and became famous on that day in november  dont wake me i plan on sleeping dont wake me i plan on sleeping in dont wake me i plan on sleeping dont wake me i plan on sleeping in  again last night i had that strange dream where everything was exactly how it seemed concerns about the world getting warmer people thought that they were just being rewarded for treating others as theyd like to be treated for obeying stop signs and curing diseases for mailing letters with the address of the sender now we can swim any day in november  dont wake me i plan on sleeping now we can swim any day in november dont wake me i plan on sleeping in dont wake me i plan on sleeping dont wake me i plan on sleeping in  dont wake me i plan on sleeping in dont wake me i plan on sleeping ooohhh  enviado por adri watkins
KZofx143Sisd1IPV,neg,0.4780959133106078,0.5219040866893914,ive never seen a diamond in the flesh i cut my teeth on wedding rings in the movies and im not proud of my address
DC3KRgni67BgtpnS,pos,0.5215785992944786,0.47842140070552175,featuring bon iver  down in the willow garden where me and my true love did meet
